Discrete_Time;Time;Acquisition_Number;Sm;Enc_Position;ActTemp_1;ActPos_1;ActVel_1;ActCur_1;VelRef_1;IsdIstwert_1;UsqRegleeausgang_1;UsdRegleeausgang_1;StellwertU_1;ActTemp_2;ActPos_2;ActVel_2;ActCur_2;VelRef_2;IsdIstwert_2;UsqRegleeausgang_2;UsdRegleeausgang_2;StellwertU_2;Board1Acc1X;Board1Acc1Y;Board1Acc1Z;Board1Acc2X;Board1Acc2Y;Board1Acc2Z;Board1Acc3X;Board1Acc3Y;Board1Acc3Z;Board2Acc1X;Board2Acc1Y;Board2Acc1Z;Board2Acc2X;Board2Acc2Y;Board2Acc2Z;Board2Acc3X;Board2Acc3Y;Board2Acc3Z;Board3Acc1X;Board3Acc1Y;Board3Acc1Z;Board3Acc2X;Board3Acc2Y;Board3Acc2Z;Board3Acc3X;Board3Acc3Y;Board3Acc3Z
356408;2022-07-22 15:31:21.632;51;218;9526312;38;4135522616.0;0.444676399230957;-13.918303;1.78341050440926e-07;-0.002211192;-10.602579;-0.8719706;0.5203578;37;160088563.0;5.23297278086344;13.940202;1.78341050440926e-07;0.003102345;9.962019;-2.248891;0.4842634;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356408;2022-07-22 15:31:21.632;51;218;9526312;38;4135522616.0;0.245057344436646;-12.569279;2.22729168686094e-07;0.04042523;-10.064089;-0.9904433;0.5191542;37;160088558.0;-0.481119791666667;12.647226;2.22729168686094e-07;-0.007533665;8.826368;-2.183527;0.4858225;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356408;2022-07-22 15:31:21.632;51;218;9526312;38;4135522616.0;0.570975780487061;-13.918303;1.10735761093228e-07;-0.02674572;-9.579261;-0.81684;0.5183842;37;160088555.0;-1.4127999941508;13.940202;1.10735761093228e-07;-0.08578131;8.624945;-2.005975;0.4866853;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356408;2022-07-22 15:31:21.632;51;218;9526312;38;4135522616.0;0.444676399230957;-13.918303;1.41330010131901e-07;-0.002211192;-10.602579;-0.8719706;0.5203578;37;160088559.0;2.03867594401042;13.940202;1.41330010131901e-07;-0.05237909;10.219714;-2.103913;0.4848911;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356409;2022-07-22 15:31:21.633;51;218;9526312;38;4135522619.0;-2.50644413630168;-12.569279;2.75546008533184e-07;0.006191372;-8.920685;-0.889975;0.5167772;37;160088557.0;-1.3872660001119;12.647226;2.75546008533184e-07;-0.11083475;9.588656;-1.958002;0.4861662;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356409;2022-07-22 15:31:21.633;51;218;9526312;38;4135522617.0;0.073118527730306;-12.569279;3.37938723238539e-07;-0.003302121;-9.863544;-0.8749446;0.5188517;37;160088557.0;-0.675376097361247;12.647226;3.37938723238539e-07;-0.04380069;10.618991;-2.121426;0.4847777;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356409;2022-07-22 15:31:21.633;51;218;9526312;38;4135522618.0;-0.854367812474569;-12.569279;4.11154128239615e-07;0.04005535;-10.645688;-0.9718333;0.5202569;37;160088556.0;-1.13352521260579;12.647226;4.11154128239615e-07;-0.006988453;10.08438;-2.222278;0.4848137;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356409;2022-07-22 15:31:21.633;51;218;9526312;38;4135522618.0;-0.665382305781046;-12.791608;4.96542853745469e-07;-0.05724722;-10.894338;-0.7182821;0.5209814;37;160088554.0;-3.11044343312581;13.149362;4.96542853745469e-07;-0.04071032;8.69461;-2.115588;0.4863597;0.4725342;0.3533936;0.7420655;0.3065186;0.5135498;-0.7833252;-0.8575439;0.009643555;0.4666748;-0.8790283;0.01745606;-0.5059815;-0.03137207;0.8319092;0.4940186;0.8240967;0.00769043;0.4783936;-0.3927002;0.7694092;-0.529419;-0.8341065;0.546753;-0.0001220703;-0.810669;0.009643555;-0.5157471
356410;2022-07-22 15:31:21.634;51;218;9526312;38;4135522620.0;-2.03705453872681;-12.791608;5.95563497327212e-07;-0.03245156;-11.095941;-0.7838062;0.5212223;37;160088554.0;-2.16294479370117;13.149362;5.95563497327212e-07;-0.03836341;9.714969;-2.154022;0.485423;0.468628;0.3533936;0.7420655;0.2947998;0.5076905;-0.7735596;-0.8458252;0.01550293;0.4647217;-0.8790283;0.02331543;-0.5098877;-0.0333252;0.828003;0.499878;0.8319092;0.00769043;0.4783936;-0.3848877;0.7674561;-0.5469971;-0.8341065;0.546753;-0.0001220703;-0.8145752;0.009643555;-0.529419
356410;2022-07-22 15:31:21.634;51;218;9526312;38;4135522618.0;-0.0676053365071615;-12.791608;7.09786776508407e-07;-0.012964708;-11.125432;-0.8422487;0.5214061;37;160088557.0;0.486193021138509;13.149362;7.09786776508407e-07;-0.01946139;11.114117;-2.180334;0.4841199;0.468628;0.3533936;0.7420655;0.2947998;0.5076905;-0.7735596;-0.8458252;0.01550293;0.4647217;-0.8790283;0.02331543;-0.5098877;-0.0333252;0.828003;0.499878;0.8319092;0.00769043;0.4783936;-0.3848877;0.7674561;-0.5469971;-0.8341065;0.546753;-0.0001220703;-0.8145752;0.009643555;-0.529419
